Symbol,ClosingPrice,Company Name
55468,227.05,PETRONET24JANFUT
55479,428.35,RECLTD24JANFUT
55513,10482.35,ULTRACEMCO24JANFUT
55495,714.2,SYNGENE24JANFUT
55464,39022.05,PAGEIND24JANFUT
55511,2030.05,TVSMOTOR24JANFUT
55496,1125.7,TATACHEM24JANFUT
55478,286.5,RBLBANK24JANFUT
55380,157.7,FEDERALBNK24JANFUT
55402,1449.8,ICICIGI24JANFUT
55323,226.95,ABFRL24JANFUT
55328,536.95,AMBUJACEM24JANFUT
55369,562.3,DABUR24JANFUT
55385,1150.85,GODREJCP24JANFUT
55445,962.15,MFSL24JANFUT
55421,1126.3,IPCALAB24JANFUT
55437,1706.45,M&M24JANFUT
55473,5509.7,POLYCAB24JANFUT
55388,2144.55,GRASIM24JANFUT
55515,258.7,VEDL24JANFUT
55336,1089.8,AUROPHARMA24JANFUT
55339,1690.35,BAJAJFINSV24JANFUT
55423,471.3,ITC24JANFUT
55454,5170.95,NAUKRI24JANFUT
55499,795.25,TATAMOTORS24JANFUT
55521,704.85,ZYDUSLIFE24JANFUT
55446,1213.1,MGL24JANFUT
55434,6311.05,LTIM24JANFUT
